pulse_num,rise_edge_arrivals
176,1.000010497818e-08
177,9.99924249658e-09
178,1.000046932684e-08
179,1.000089492061e-08
180,9.99947554016e-09
181,9.99953164324e-09
182,1.000031543361e-08
183,1.000031929012e-08
184,9.99887337319e-09
185,1.000090465371e-08
186,9.99964954235e-09
187,9.99988350414e-09
188,1.000016989615e-08
189,1.000040229697e-08
190,9.99977947011e-09
191,1.000047685623e-08
192,9.99953090866e-09
193,9.99994190277e-09
194,1.000022214272e-08
195,9.99983970517e-09
196,1.000025602494e-08
197,9.99982960478e-09
198,9.99993391428e-09
199,9.99992904773e-09
200,9.99986027324e-09
201,1.000107516668e-08
202,9.99876713543e-09
203,1.000119664685e-08
204,9.99931981048e-09
205,9.99943835235e-09
206,1.000005805727e-08
207,1.000008330825e-08
208,1.000114770586e-08
209,9.99865162368e-09
210,1.000110482511e-08
211,9.99950859598e-09
212,9.99967029407e-09
213,1.000035969169e-08
214,1.000014712436e-08
215,1.000039586945e-08
216,9.9994727855e-09
217,9.99992592579e-09
218,1.000012545443e-08
219,9.99945432933e-09
220,1.000054755897e-08
221,9.99988286139e-09
222,9.9999812943e-09
223,9.99975853476e-09
224,1.000038530995e-08
225,1.000004814052e-08
226,9.99963393266e-09
227,1.000024748552e-08
228,1.000055077273e-08
229,9.99922523409e-09
230,1.000009900977e-08
231,1.000047483615e-08
232,9.99965477619e-09
233,1.00000235323e-08
234,1.000029872205e-08
235,9.99959545935e-09
236,9.99905270104e-09
237,1.000043700559e-08
238,1.00006549904e-08
239,9.99988102496e-09
240,9.99978442849e-09
241,1.000035133591e-08
242,9.99994410649e-09
243,1.000025767773e-08
244,9.99977992922e-09
245,1.00000480487e-08
246,9.99960730435e-09
247,9.99994465742e-09
248,1.000008312461e-08
249,1.000025776956e-08
250,9.99962576052e-09
251,1.000000140326e-08
252,1.000034022548e-08
253,1.000003574459e-08
254,9.99987634205e-09
255,1.000015548014e-08
256,9.999546702e-09
257,1.000009799973e-08
258,1.000063635059e-08
259,9.99973089641e-09
260,9.99999901589e-09
261,9.99979204969e-09
262,1.000051578864e-08
263,9.99998946643e-09
264,9.99961712928e-09
265,9.99944303526e-09
266,1.000007412608e-08
267,1.000086076292e-08
268,9.99992206928e-09
269,9.99984071521e-09
270,9.99975688197e-09
271,1.000017816011e-08
272,1.000043360819e-08
273,9.9989933842e-09
274,1.000067170196e-08
275,9.99980361923e-09
276,1.000023674238e-08
277,9.99925167875e-09
278,1.000059273526e-08
279,9.99996559278e-09
280,1.000023747695e-08
281,1.000024197622e-08
282,9.99959885675e-09
283,9.9997768991e-09
284,1.000004667138e-08
285,1.000027135917e-08
286,1.00002233364e-08
287,9.99914590011e-09
288,1.000094872815e-08
289,9.99944119882e-09
290,9.99969122942e-09
291,1.000083863388e-08
292,9.99942935382e-09
293,9.9996298925e-09
294,1.000060568213e-08
295,9.99963090254e-09
296,1.00002507911e-08
297,9.9999002157e-09
298,9.99983355312e-09
299,9.99963044343e-09
300,1.00008501116e-08
301,9.99989709376e-09
302,1.000030028302e-08
303,1.000005787363e-08
304,9.99955046669e-09
305,1.000031387264e-08
306,9.99979810993e-09
307,9.99952879676e-09
308,1.000010470272e-08
309,1.00004995362e-08
310,9.99997303034e-09
311,1.000009836702e-08
312,9.99931035285e-09
313,1.000003225536e-08
314,1.000049081313e-08
315,9.99987092457e-09
316,1.000090575557e-08
317,9.99894885066e-09
318,1.000000470884e-08
319,9.99999561849e-09
320,1.000002757245e-08
321,1.000044141304e-08
322,9.99951676812e-09
323,1.000044738145e-08
324,9.99976340131e-09
325,9.99999405752e-09
326,1.000011884326e-08
327,9.99974118045e-09
328,9.99928473458e-09
329,1.000074589392e-08
330,9.99992748676e-09
331,9.99980187462e-09
332,1.000036106901e-08
333,9.99996889836e-09
334,1.000018073112e-08
335,1.000011269121e-08
336,9.99964963417e-09
337,1.00004923741e-08
338,9.9995855426e-09
339,9.9997173068e-09
340,1.000049916891e-08
341,9.99949555729e-09
342,1.000034463292e-08
343,9.99958030876e-09
344,1.000017485453e-08
345,9.99993933176e-09
346,1.000034316377e-08
347,1.00000193085e-08
348,9.99981647427e-09
349,1.000031387264e-08
350,1.000054039687e-08
351,9.99947104089e-09
352,9.99955478232e-09
353,1.000008542015e-08
354,1.000020910403e-08
355,9.999187679e-09
356,1.000139608366e-08
357,9.99844952403e-09
358,1.000131656604e-08
359,9.99887401594e-09
360,1.000083900117e-08
361,1.000006466844e-08
362,1.000003041893e-08
363,1.000002977618e-08
364,9.99989654283e-09
365,9.99998698725e-09
366,9.99983024754e-09
367,9.99999295566e-09
368,9.99947140818e-09
369,1.000045077885e-08
370,1.00000446513e-08
371,9.99972970273e-09
372,1.000072091841e-08
373,9.9992869383e-09
374,1.000037364859e-08
375,1.000023784424e-08
376,1.000017926197e-08
377,9.9993574574e-09
378,9.99950281121e-09
379,1.000010148896e-08
380,1.000068795441e-08
381,9.99995843068e-09
382,1.000024794463e-08
383,1.000025639223e-08
384,9.99966551933e-09
385,9.99990407221e-09
386,9.99988827888e-09
387,1.000008523651e-08
388,1.000034334742e-08
389,9.99926260554e-09
390,1.000030065031e-08
391,9.99980426198e-09
392,1.00002571268e-08
393,1.000020671667e-08
394,9.99997697868e-09
395,9.99971923505e-09
396,9.99955652693e-09
397,1.000019955457e-08
398,9.9995306332e-09
399,1.000044122939e-08
400,1.000029569193e-08
401,1.000040183787e-08
402,9.99974329235e-09
403,9.99982547281e-09
404,9.99951006513e-09
405,1.000038475902e-08
406,1.00003876055e-08
407,9.99966331561e-09
408,9.9997494444e-09
409,1.000029523283e-08
410,1.000010323357e-08
411,1.000007945174e-08
412,9.99980536384e-09
413,9.99965560259e-09
414,9.99956065891e-09
415,1.000078372448e-08
416,9.9999382299e-09
417,1.000040128694e-08
418,9.99923129433e-09
419,1.00003939412e-08
420,9.99972465254e-09
421,1.000048089638e-08
422,9.99878237784e-09
423,1.000077720514e-08
424,1.000082550337e-08
425,9.99943128208e-09
426,9.99963475905e-09
427,1.00006655499e-08
428,9.99934212317e-09
429,1.000009524508e-08
430,1.000028375511e-08
431,9.9998241873e-09
432,9.99980986311e-09
433,1.000009487779e-08
434,1.000055600657e-08
435,9.99981840253e-09
436,9.99950685137e-09
437,1.000028320418e-08
438,1.000018311848e-08
439,9.99957571767e-09
440,1.000052643997e-08
441,1.000022443826e-08
442,9.99958141062e-09
443,9.99934441871e-09
444,1.000136945536e-08
445,9.99883783817e-09
446,1.000060375387e-08
447,1.000017641549e-08
448,9.99971721497e-09
449,9.99971813319e-09
450,9.99990223578e-09
451,1.000028852984e-08
452,1.000009579601e-08
453,9.99958894e-09
454,1.000039127837e-08
455,9.99949151714e-09
456,1.000023224311e-08
457,1.000028687705e-08
458,1.000010938562e-08
459,1.000022177543e-08
460,9.9995445901e-09
461,1.000010075438e-08
462,1.000037741328e-08
463,9.99980747574e-09
464,1.000056050583e-08
465,9.99889146207e-09
466,1.00005840122e-08
467,1.000014216599e-08
468,9.99923212072e-09
469,1.000048291646e-08
470,9.99988488147e-09
471,1.000019735085e-08
472,1.000000682074e-08
473,9.99974338417e-09
474,9.99998909915e-09
475,1.000028706069e-08
476,9.99958324706e-09
477,9.99992014102e-09
478,1.000026658444e-08
479,1.000049907709e-08
480,9.99954137634e-09
481,1.000006760673e-08
482,9.99952319564e-09
483,1.000036556828e-08
484,9.99976514592e-09
485,1.000075351513e-08
486,9.9991010911e-09
487,9.99948554872e-09
488,1.000132391178e-08
489,9.99941475416e-09
490,1.000027723577e-08
491,1.000012012877e-08
492,9.99928133718e-09
493,1.00011698349e-08
494,9.99931852498e-09
495,1.000014611432e-08
496,9.9995918783e-09
497,1.000053727493e-08
498,1.000004915056e-08
499,9.9997701043e-09
500,9.99944900367e-09
501,1.00006761094e-08
502,9.99995429871e-09
503,9.99941989618e-09
504,1.000003372451e-08
505,1.000070301317e-08
506,9.99955955705e-09
507,1.00004205695e-08
508,9.99937600539e-09
509,1.000063423869e-08
510,9.99983070664e-09
511,9.99985660038e-09
512,9.99979746717e-09
513,1.000002077765e-08
514,9.99970050342e-09
515,1.000038687092e-08
516,1.000026401343e-08
517,9.99931935138e-09
518,1.000089088045e-08
519,9.99984668363e-09
520,9.9996129973e-09
521,9.99972465254e-09
522,1.000042855799e-08
523,9.9995129116e-09
524,1.000081218922e-08
525,9.99949417997e-09
526,9.9998714755e-09
527,1.00002347223e-08
528,1.000005934278e-08
529,1.000000636163e-08
530,9.99982969661e-09
531,1.000039577763e-08
532,9.99960555974e-09
533,1.000060531484e-08
534,9.99982363637e-09
535,9.99949124167e-09
536,1.000074525117e-08
537,9.99933734844e-09
538,1.00000699941e-08
539,9.99993180238e-09
540,1.000013179013e-08
541,1.000007449336e-08
542,1.00002144297e-08
543,9.99944542262e-09
544,1.000025703498e-08
545,9.99998955825e-09
546,1.000002031854e-08
547,9.99970546179e-09
548,1.000022857024e-08
549,9.99997890693e-09
550,9.99957691136e-09
551,1.000075149505e-08
552,1.000031984105e-08
553,9.9993764645e-09
554,1.000002977618e-08
555,1.000016824336e-08
556,9.99941016308e-09
557,1.000040982636e-08
558,1.000035445785e-08
559,1.000026144243e-08
560,9.9998643134e-09
561,9.99974365964e-09
562,1.000014749165e-08
563,1.000015290913e-08
564,9.99934698972e-09
565,9.99989801198e-09
566,1.00000353773e-08
567,1.000015492921e-08
568,1.000039348209e-08
569,9.99945993046e-09
570,1.000065095025e-08
571,9.99954064177e-09
572,1.000043764834e-08
573,9.99909154164e-09
574,1.000054902811e-08
575,9.99972208153e-09
576,1.000027650119e-08
577,9.99965909181e-09
578,1.000075232145e-08
579,9.99901468684e-09
580,1.000059264344e-08
581,9.99951318707e-09
582,1.000042763977e-08
583,1.000096112408e-08
584,9.99923331441e-09
585,9.99980114004e-09
586,1.000009267407e-08
587,9.99966386654e-09
588,1.000013794219e-08
589,9.99999543485e-09
590,1.000077261405e-08
591,9.99962254676e-09
592,9.99934102131e-09
593,1.000062211822e-08
594,9.99974742433e-09
595,9.99995668607e-09
596,1.000053497939e-08
597,9.9993532336e-09
598,1.000022645834e-08
599,9.9998989302e-09
600,1.000004134572e-08
601,1.000001985943e-08
602,1.000045986921e-08
603,1.00001198533e-08
604,1.000002894978e-08
605,9.99974145591e-09
606,9.99948821156e-09
607,1.000054149873e-08
608,9.99978800954e-09
609,9.99973512021e-09
610,1.00000332654e-08
611,1.000026741084e-08
612,1.000008450193e-08
613,9.99957305484e-09
614,1.000029918116e-08
615,1.000028302053e-08
616,9.99966359108e-09
617,9.99961584377e-09
618,1.000079446763e-08
619,9.99975550464e-09
620,1.00000058107e-08
621,1.000029220271e-08
622,1.000014684889e-08
623,9.9996713041e-09
624,9.99991141795e-09
625,9.99998799728e-09
626,1.00003403173e-08
627,9.99953439789e-09
628,1.000055049726e-08
629,9.99943963785e-09
630,1.000055077273e-08
631,9.99947765206e-09
632,9.9995741567e-09
633,9.99984144979e-09
634,1.00006613261e-08
635,9.9991209246e-09
636,1.000027071642e-08
637,1.000066417258e-08
638,9.99944211704e-09
639,1.000033095148e-08
640,9.99957378942e-09
641,1.000034353106e-08
642,9.99976578867e-09
643,1.000026373797e-08
644,1.000020671667e-08
645,9.99987074092e-09
646,1.00001608058e-08
647,1.000010341721e-08
648,9.99953228599e-09
649,9.99969104578e-09
650,1.00001958817e-08
651,1.000049182317e-08
652,9.99955744515e-09
653,9.9997241016e-09
654,1.000064994021e-08
655,9.99998496717e-09
656,1.000009340864e-08
657,9.99945726763e-09
658,1.000087527076e-08
659,9.9995192473e-09
660,1.000042947621e-08
661,9.99983961335e-09
662,9.99974549607e-09
663,9.99987202643e-09
664,9.99949766919e-09
665,1.000055986308e-08
666,9.99980949582e-09
667,1.000003849924e-08
668,1.000018330213e-08
669,9.99958572624e-09
670,1.000060026465e-08
671,1.000014427789e-08
672,9.99946865352e-09
673,1.000000002593e-08
674,1.000006512755e-08
675,1.000032351392e-08
676,1.000009552054e-08
677,9.99975541282e-09
678,9.99997523406e-09
679,9.99929988517e-09
680,1.00003390318e-08
681,1.000001067725e-08
682,1.000054462067e-08
683,9.99956984108e-09
684,1.00001227916e-08
685,9.99951061606e-09
686,1.00001853222e-08
687,1.000071761283e-08
688,9.99927647062e-09
689,1.00003204838e-08
690,9.99996605189e-09
691,1.000054930358e-08
692,9.99947370372e-09
693,9.99955432321e-09
694,1.000116533563e-08
695,9.99939574706e-09
696,9.99979930361e-09
697,1.000064498183e-08
698,9.99960363148e-09
699,1.000001526834e-08
700,9.99999699582e-09
701,9.9995390808e-09
702,9.99994263735e-09
703,1.000066453986e-08
704,1.000005190522e-08
705,9.99923432444e-09
706,1.000061302787e-08
707,9.99956120984e-09
708,9.99999038465e-09
709,1.000041579477e-08
710,9.99956515817e-09
711,9.99990333764e-09
712,1.000036593557e-08
713,1.000029394732e-08
714,9.99948591601e-09
715,1.000059530627e-08
716,1.000033095148e-08
717,9.99898741579e-09
718,9.9996586327e-09
719,1.000015015448e-08
720,1.000053112288e-08
721,1.00003225957e-08
722,9.99965743902e-09
723,9.99986449704e-09
724,1.00003057005e-08
725,9.99978213294e-09
726,1.000015529649e-08
727,1.000032121838e-08
728,9.99990645958e-09
729,9.99935213174e-09
730,1.000057804378e-08
731,9.9999255585e-09
732,9.99980995493e-09
733,1.000031598454e-08
734,9.99991114249e-09
735,1.000018422034e-08
736,1.000013454478e-08
737,9.99926912488e-09
738,1.000003188808e-08
739,1.000047621348e-08
740,9.99944018879e-09
741,1.000043930114e-08
742,9.9995665355e-09
743,1.000073753815e-08
744,9.99940088908e-09
745,1.00003580389e-08
746,9.99923717092e-09
747,1.000009175585e-08
748,1.000047162239e-08
749,1.000034307195e-08
750,9.99983281854e-09
751,9.9997840612e-09
752,1.000010479454e-08
753,1.000029321275e-08
754,9.99945552302e-09
755,9.99954826297e-09
756,1.000048714026e-08
757,9.99989709376e-09
758,1.00004023888e-08
759,9.99990627594e-09
760,1.000005934278e-08
761,9.99990398039e-09
762,9.99928941749e-09
763,1.000046482758e-08
764,1.000047722351e-08
765,9.99995641061e-09
766,9.99964155386e-09
767,9.99977717457e-09
768,1.000101511527e-08
769,9.9991834552e-09
770,9.99972355067e-09
771,1.000046143017e-08
772,1.000049861798e-08
773,9.99956837193e-09
774,1.000050017895e-08
775,9.99937481171e-09
776,9.99998772182e-09
777,1.000035041769e-08
778,9.99951135063e-09
779,9.99982519734e-09
780,1.000061670074e-08
781,9.99944441259e-09
782,1.00006212e-08
783,9.99931788223e-09
784,1.000007605433e-08
785,1.000012104699e-08
786,9.99988864616e-09
787,1.000003014346e-08
788,1.000068216964e-08
789,9.99887364865e-09
790,1.000048383468e-08
791,1.000012940276e-08
792,9.99980747574e-09
793,9.99958949093e-09
794,1.000064938928e-08
795,1.000005695541e-08
796,9.99994814665e-09
797,1.000026116696e-08
798,9.99943311851e-09
799,1.000054746715e-08
800,9.99986495615e-09
801,9.99976248309e-09
802,9.99994888122e-09
803,1.00001544701e-08
804,1.000005089518e-08
805,1.000019220883e-08
806,9.99993492432e-09
807,9.99964862413e-09
808,9.99997183666e-09
809,1.000006797402e-08
810,1.000015566378e-08
811,1.00000564963e-08
812,1.000027200193e-08
813,1.000018412852e-08
814,9.99927601151e-09
815,1.000050256631e-08
816,1.00002030438e-08
817,9.99917555853e-09
818,1.00007888665e-08
819,9.99917041651e-09
820,1.000012453621e-08
821,1.000023123307e-08
822,1.00005620668e-08
823,9.99951786998e-09
824,9.99961244637e-09
825,1.000041469291e-08
826,1.000047777444e-08
827,9.99907758473e-09
828,1.000015759204e-08
829,1.000029431461e-08
830,9.99986229332e-09
831,1.000008679748e-08
832,9.99995145223e-09
833,9.99998331438e-09
834,1.000031727004e-08
835,9.99977956194e-09
836,9.99974623064e-09
837,1.000033563439e-08
838,9.99968507737e-09
839,1.000038576906e-08
840,9.99939023776e-09
841,1.000039899139e-08
842,9.99981932075e-09
843,9.99937398531e-09
844,1.000066389711e-08
845,1.000022039811e-08
846,9.99937793365e-09
847,1.000060026465e-08
848,9.99927656245e-09
849,1.000105046664e-08
850,9.99997394856e-09
851,9.99927187954e-09
852,1.000038457538e-08
853,9.99982161629e-09
854,1.000020240105e-08
855,9.99974861801e-09
856,1.000046666401e-08
857,1.000006035282e-08
858,1.000008615472e-08
859,9.99973502839e-09
860,9.99972814176e-09
861,9.99991867187e-09
862,9.99967112046e-09
863,1.000080879182e-08
864,9.99985724313e-09
865,9.99944129065e-09
866,1.000062092454e-08
867,9.99948178403e-09
868,9.9999179373e-09
869,1.000031359717e-08
870,9.99990691869e-09
871,1.000019578988e-08
872,9.99942026347e-09
873,1.000020506388e-08
874,1.000076536013e-08
875,9.99928087807e-09
876,1.000018651589e-08
877,1.000080337433e-08
878,9.99890009331e-09
879,1.00001312392e-08
880,1.000048383468e-08
881,9.9997270399e-09
882,1.00002854079e-08
883,1.000022994757e-08
884,9.9993405622e-09
885,1.000003556095e-08
886,1.000007926809e-08
887,9.99996899018e-09
888,9.99911238517e-09
889,1.000058814418e-08
890,1.000049200681e-08
891,9.9994461572e-09
892,1.000053791768e-08
893,9.99913341235e-09
894,1.000105514954e-08
895,9.9997798374e-09
896,9.99986385429e-09
897,1.000018734228e-08
898,9.9997312637e-09
899,9.99979076419e-09
900,1.000033912362e-08
901,9.99980692481e-09
902,1.00002993648e-08
903,9.9999643991e-09
904,1.000012187338e-08
905,1.000009506143e-08
906,9.99963925832e-09
907,9.99986660894e-09
908,1.000019321887e-08
909,1.000010543729e-08
910,9.99989773651e-09
911,1.000016043851e-08
912,1.000004501859e-08
913,1.000039081926e-08
914,9.99985008103e-09
915,9.99949620005e-09
916,9.99993262878e-09
917,1.00003846672e-08
918,9.99949142532e-09
919,1.000017568092e-08
920,1.000048548747e-08
921,1.000022581559e-08
922,9.99936195666e-09
923,9.99990691869e-09
924,1.000023885428e-08
925,9.99987037364e-09
926,9.99999231291e-09
927,9.99979902814e-09
928,1.000021296055e-08
929,1.000073294706e-08
930,9.99994658568e-09
931,9.99961290548e-09
932,1.000005989371e-08
933,1.00004353528e-08
934,9.99944652449e-09
935,9.99985981414e-09
936,1.000049421054e-08
937,9.99994603475e-09
938,9.99991766183e-09
939,9.99949004799e-09
940,1.000014124777e-08
941,9.9995454165e-09
942,1.000063552419e-08
943,9.99985522305e-09
944,9.99964880778e-09
945,1.000075369877e-08
946,9.99938674853e-09
947,9.99987882124e-09
948,1.000044921788e-08
949,9.99932247331e-09
950,1.000025767773e-08
951,9.99982887021e-09
952,1.00003901765e-08
953,9.99937848458e-09
954,1.000049834251e-08
955,1.00003635482e-08
956,9.99938757493e-09
957,1.000093073109e-08
958,9.99973723211e-09
959,9.99985476394e-09
960,9.9998495301e-09
961,1.000045931827e-08
962,9.99983006389e-09
963,9.99993079234e-09
964,1.000013794219e-08
965,9.99964201297e-09
966,9.99989792016e-09
967,1.000023279404e-08
968,9.99981592334e-09
969,9.9999707348e-09
970,9.99997009205e-09
971,1.000023022303e-08
972,9.99975256634e-09
973,9.99976330949e-09
974,1.000034040912e-08
975,9.9998009564e-09
976,1.000034545932e-08
977,9.99902460359e-09
978,1.000055747571e-08
979,1.000052414442e-08
980,1.000020001368e-08
981,9.99983079847e-09
982,9.99991784548e-09
983,9.99930052792e-09
984,1.000059714271e-08
985,9.99982308544e-09
986,9.99984659181e-09
987,1.000064828742e-08
988,9.99955505778e-09
989,9.9996172211e-09
990,1.000015529649e-08
991,1.000091062213e-08
992,9.9991581124e-09
993,1.000061458884e-08
994,1.000006016917e-08
995,9.99957259573e-09
996,1.000003794831e-08
997,9.99995356413e-09
998,1.000010920198e-08
999,1.00004057862e-08
1000,9.99924369026e-09
1001,1.000002601149e-08
1002,1.000011296667e-08
1003,1.000014537975e-08
1004,9.99960170323e-09
1005,1.000014987901e-08
1006,9.99999093558e-09
1007,9.99994575928e-09
1008,1.000081246469e-08
1009,9.99998625267e-09
1010,9.99942861925e-09
1011,9.99997973333e-09
1012,1.000026603351e-08
1013,1.00000615465e-08
1014,9.99991821276e-09
1015,1.000013004552e-08
1016,1.00000129728e-08
1017,1.000051174849e-08
1018,9.99970922648e-09
1019,9.99888310629e-09
1020,1.000097930479e-08
1021,9.99960886532e-09
1022,9.99980141551e-09
1023,9.9997840612e-09
1024,1.000019533077e-08
1025,1.000064452272e-08
1026,9.9996375137e-09
1027,9.9994947309e-09
1028,1.000033343067e-08
1029,9.99977239984e-09
1030,1.000015042994e-08
1031,1.000053424481e-08
1032,9.99940456195e-09
1033,1.000002555238e-08
1034,1.000009864248e-08
1035,9.99990590865e-09
1036,1.00005747382e-08
1037,9.99957516674e-09
1038,9.99999837314e-09
1039,1.000005107882e-08
1040,1.000098600777e-08
1041,9.99898374292e-09
1042,9.99975017898e-09
1043,1.000087986184e-08
1044,9.99919979947e-09
1045,9.99979911997e-09
1046,1.000000480066e-08
1047,1.000000360698e-08
1048,1.000039118654e-08
1049,1.000000700438e-08
1050,9.99989323725e-09
1051,1.00008260543e-08
1052,9.99894811608e-09
1053,9.99932357518e-09
1054,1.00011191493e-08
1055,9.99994796301e-09
1056,9.9996792926e-09
1057,1.000061376244e-08
1058,1.000007486065e-08
1059,9.9996354018e-09
1060,1.000002849067e-08
1061,9.99985972231e-09
1062,1.000007063685e-08
1063,1.000016319316e-08
1064,9.99954275367e-09
1065,1.000010350903e-08
1066,1.000028063317e-08
1067,9.9996869138e-09
1068,1.000022269365e-08
1069,1.000010203989e-08
1070,9.99933275735e-09
1071,1.000038521813e-08
1072,1.000044196397e-08
1073,1.000017861922e-08
1074,9.99906821892e-09
1075,1.00005502218e-08
1076,1.000015584743e-08
1077,9.99964458398e-09
1078,9.99988956438e-09
1079,9.99968461826e-09
1080,1.000020276833e-08
1081,9.99997541771e-09
1082,1.000066068335e-08
1083,9.99935644736e-09
1084,9.99987643387e-09
1085,9.99976771693e-09
1086,1.000087435254e-08
1087,1.000009102128e-08
1088,9.99939152326e-09
1089,1.000067381386e-08
1090,9.99922413223e-09
1091,9.99991848823e-09
1092,1.00001502463e-08
1093,1.000002399141e-08
1094,9.99992519121e-09
1095,1.000046776588e-08
1096,9.9993883095e-09
1097,1.000081347473e-08
1098,9.99934193952e-09
1099,1.00000586082e-08
1100,1.000024675095e-08
1101,9.99993143509e-09
1102,1.000027595026e-08
1103,1.000012435257e-08
1104,9.99986449704e-09
1105,1.000001389102e-08
1106,9.99999864861e-09
1107,9.9999200492e-09
1108,9.99946819442e-09
1109,1.000033333885e-08
1110,9.99968893388e-09
1111,9.99971005288e-09
1112,1.000097930479e-08
1113,9.99959784671e-09
1114,1.000037236309e-08
1115,9.99922183669e-09
1116,1.000042754795e-08
1117,9.9998271256e-09
1118,9.9999276704e-09
1119,1.000037465863e-08
1120,1.000020240105e-08
1121,9.99978185748e-09
1122,1.000005870002e-08
1123,9.99978947868e-09
1124,1.000062845392e-08
1125,9.9995031785e-09
1126,1.000013142284e-08
1127,9.99973530386e-09
1128,1.000017209987e-08
1129,1.0000219939e-08
1130,9.99978369391e-09
1131,9.99995622696e-09
1132,9.99988763612e-09
1133,9.99987423015e-09
1134,1.000005989371e-08
1135,1.000062092454e-08
1136,9.99913102499e-09
1137,1.000035050951e-08
1138,1.000011085477e-08
1139,1.000023306951e-08
1140,9.99932660529e-09
1141,1.000044499408e-08
1142,1.000012352617e-08
1143,9.99988680973e-09
1144,1.000063754427e-08
1145,9.99886547652e-09
1146,1.00009818758e-08
1147,9.99936544589e-09
1148,1.000044141304e-08
1149,9.99993382246e-09
1150,9.9997375994e-09
